Bay Village,Beachwood,Bedford,Bedford Heights,Bellaire-Puritas,Bentleyville,Berea,Bratenahl,Brecksville,Broadview Heights,Broadway-Slavic Village,Brook Park,Brooklyn,Brooklyn Centre,Brooklyn Heights,Buckeye-Shaker Square,Buckeye-Woodhill,Central,Chagrin Falls Township,Chagrin Falls Village,Clark-Fulton,Cleveland Heights,Collinwood-Nottingham,Cudell,Cuyahoga Heights,Cuyahoga Valley,Detroit Shoreway,Downtown,East Cleveland,Edgewater,Euclid,Euclid-Green,Fairfax,Fairview Park,Garfield Heights,Gates Mills,Glenville,Glenwillow,Goodrich-Kirtland Pk,Highland Heights,Highland Hills,Hopkins,Hough,Hunting Valley,Independence,Jefferson,Kamm's,Kinsman,Lakewood,Lee-Harvard,Lee-Seville,Linndale,Lyndhurst,Maple Heights,Mayfield Heights,Mayfield Village,Middleburg Heights,Moreland Hills,Mount Pleasant,Newburgh Heights,North Olmsted,North Randall,North Royalton,North Shore Collinwood,Oakwood,Ohio City,Old Brooklyn,Olmsted Falls,Olmsted Township,Orange,Parma,Parma Heights,Pepper Pike,Richmond Heights,Rocky River,Seven Hills,Shaker Heights,Solon,South Euclid,St.Clair-Superior,Stockyards,Strongsville,Tremont,Union-Miles,University,University Heights,Valley View,Walton Hills,Warrensville Heights,West Boulevard,Westlake,Woodmere
16.93,15.14,144.03,187.33,298.92,6.94,58.29,30.08,13.33,34.33,450.88,81.36,110.31,439.42,43.42,291.42,538.63,724.04,0.0,13.37,515.92,159.84,426.88,447.78,94.04,18.43,448.99,765.53,435.58,206.15,197.96,311.95,516.59,51.29,186.52,8.37,458.87,68.26,312.88,15.22,92.92,171.57,506.27,0.0,20.89,245.77,144.16,619.44,140.99,233.59,322.95,256.98,31.21,231.39,71.05,11.56,42.71,8.43,451.5,230.73,68.04,172.35,33.8,299.28,137.71,399.38,211.82,31.25,38.48,31.3,91.64,91.9,7.53,91.22,31.61,24.14,91.11,26.13,120.83,526.76,506.68,34.77,351.36,414.49,147.0,69.13,26.55,19.29,244.87,380.82,30.37,70.14
18.47,15.98,145.63,191.98,307.52,6.94,61.49,42.61,14.35,36.13,455.53,86.3,115.95,451.01,44.72,299.6,548.37,733.87,0.0,15.32,532.61,162.49,431.99,450.9,109.72,20.88,454.78,220.73,446.79,220.0,204.99,314.48,524.28,56.82,193.8,7.05,461.52,58.5,313.12,16.18,100.88,186.27,507.66,1.7,23.41,258.34,151.1,596.76,146.0,240.85,336.52,206.7,32.14,239.09,73.51,14.74,46.97,8.13,462.36,240.89,71.89,163.58,37.41,311.58,146.44,405.11,222.5,34.02,41.29,33.1,96.74,95.76,7.19,95.58,35.32,26.35,92.87,26.73,123.39,529.96,518.78,35.28,359.15,418.91,149.52,73.05,27.53,22.8,250.11,391.09,32.72,81.45
18.66,14.22,135.92,178.22,300.79,6.94,58.19,48.45,13.33,33.25,431.33,83.7,109.05,428.94,39.53,286.29,517.22,682.59,0.0,12.4,500.06,153.47,405.39,420.97,112.85,93.37,420.83,201.18,417.25,207.18,194.71,293.69,474.11,54.02,181.25,5.73,427.04,62.84,299.2,14.26,88.5,191.18,486.51,1.7,23.41,245.41,148.84,543.64,140.51,227.97,310.72,117.32,32.21,226.21,70.01,12.14,42.71,7.83,432.51,221.97,68.95,156.77,36.53,297.12,138.81,385.29,206.63,31.8,38.19,28.89,88.72,92.14,6.19,94.35,34.88,25.33,87.67,26.77,116.53,499.13,489.77,33.81,341.55,395.13,141.58,68.91,27.53,27.18,243.91,371.72,31.5,99.55
18.91,17.65,160.39,203.14,324.35,10.42,64.37,48.45,15.3,39.64,473.34,95.31,128.12,479.43,50.55,325.9,573.23,748.17,0.0,17.02,552.71,172.26,450.88,477.28,106.58,22.11,453.23,220.73,463.66,223.08,221.08,346.65,561.95,61.04,207.63,7.05,478.52,81.26,336.01,16.06,92.04,225.49,530.46,3.4,29.3,277.37,162.5,587.57,154.4,253.15,355.43,162.01,36.07,258.8,83.53,15.61,48.92,8.73,485.8,244.58,78.0,179.16,44.25,329.72,158.17,427.92,237.59,42.44,46.55,34.31,105.93,106.14,7.36,110.85,37.55,28.38,101.27,30.75,134.42,549.45,516.67,38.39,375.38,438.01,153.67,83.98,35.89,31.13,286.22,406.71,34.43,115.38
19.99,19.82,168.45,216.11,338.33,17.49,66.0,34.63,15.93,42.83,503.59,103.12,132.98,498.49,51.18,345.65,607.35,750.84,0.0,16.49,589.63,183.05,485.78,502.95,114.99,28.84,471.79,224.41,504.22,235.97,232.57,352.72,598.0,64.98,220.62,8.0,513.07,86.53,347.03,18.52,96.07,255.4,552.54,3.39,32.06,287.16,169.16,613.98,162.38,265.3,373.49,189.4,36.83,275.09,87.41,15.77,50.66,10.53,509.93,260.17,81.8,170.21,45.32,343.89,167.43,431.12,247.47,43.02,48.57,36.88,111.14,113.48,8.7,114.47,40.71,32.28,105.9,33.43,140.61,595.52,536.72,41.89,384.61,476.64,152.84,90.25,36.59,31.3,305.63,418.01,35.95,121.37
21.2,20.57,171.53,217.98,332.9,14.0,69.56,46.45,16.29,42.38,501.94,104.22,139.0,505.38,53.13,342.59,611.4,751.4,0.0,15.03,593.0,182.57,486.59,497.28,124.31,25.24,470.64,223.29,505.81,240.63,236.15,358.95,587.05,65.64,225.81,9.78,512.11,84.49,344.43,18.64,104.39,189.0,560.3,3.39,32.06,289.17,169.12,612.64,164.39,277.76,375.77,211.05,36.04,278.15,90.6,14.05,49.97,9.93,508.55,261.56,82.63,166.38,45.09,349.44,172.33,443.24,251.97,43.02,46.55,37.48,113.33,113.96,10.55,113.05,41.95,32.36,109.39,33.43,142.73,603.93,536.43,42.82,382.18,476.04,156.8,92.97,36.1,27.78,305.49,419.34,37.62,113.51
22.1,22.91,169.68,220.88,332.37,14.0,69.14,42.23,15.2,40.55,499.0,104.9,135.94,506.51,53.77,342.43,615.29,752.05,0.0,12.12,589.75,183.95,488.84,514.09,119.65,21.63,466.06,220.24,502.51,256.48,237.65,353.09,586.89,66.11,224.52,8.45,509.95,85.51,344.43,18.16,112.7,183.89,559.76,3.39,31.78,290.02,167.81,600.11,163.95,274.03,383.96,248.93,36.98,281.65,88.88,14.34,50.22,9.93,503.14,262.49,83.33,183.59,44.8,350.98,170.97,435.81,253.98,43.46,46.98,34.78,113.18,115.27,10.21,112.19,41.5,32.02,106.85,33.43,139.98,595.99,533.01,42.58,387.3,480.86,157.91,94.22,35.11,25.13,311.88,420.78,38.23,116.88
24.15,24.08,168.06,231.63,335.16,12.83,69.46,48.14,15.56,38.07,493.06,108.27,140.35,508.55,46.0,350.77,608.91,747.46,0.0,9.7,593.6,185.92,494.69,510.05,119.65,26.44,480.16,225.94,509.42,241.49,244.38,355.84,591.53,66.71,230.06,8.0,511.37,87.55,336.85,16.25,105.31,199.21,562.8,3.39,32.9,288.32,170.19,594.74,167.2,275.01,400.33,238.11,37.7,292.19,88.3,16.92,51.85,9.93,498.46,282.51,83.76,184.55,46.79,341.7,179.14,438.78,281.62,40.61,50.82,36.88,112.39,115.76,10.55,117.14,43.13,34.74,107.91,33.17,143.0,606.74,528.92,43.76,379.12,482.72,163.72,94.59,36.59,30.42,310.32,426.6,41.03,98.9
23.95,24.13,170.94,233.64,341.65,7.05,70.14,50.38,15.43,38.5,518.13,109.54,141.95,511.63,53.76,368.97,643.78,746.69,0.0,9.19,598.12,190.22,525.24,505.33,114.01,28.23,479.67,223.23,539.32,241.09,251.62,365.66,619.08,67.76,234.17,10.32,541.84,78.73,337.46,16.32,116.89,229.31,580.68,3.38,33.41,298.27,172.96,626.48,169.4,278.86,414.08,230.79,37.98,307.04,89.42,23.63,55.39,9.32,528.82,298.87,85.31,181.29,48.38,349.12,181.29,447.07,291.98,43.58,52.56,39.74,116.66,119.38,8.04,123.93,44.21,34.49,111.05,33.37,145.38,663.94,536.55,45.99,385.48,505.73,157.24,98.19,38.79,26.16,312.77,431.86,40.81,98.25
24.98,26.05,163.24,240.86,339.37,7.05,71.87,50.38,14.19,37.01,510.82,109.65,145.28,519.08,58.29,371.44,619.19,744.47,0.0,9.67,595.4,190.29,516.73,508.1,112.47,31.76,471.85,595.37,527.04,240.74,250.83,372.35,631.09,69.73,233.85,8.53,532.34,87.38,345.07,18.22,115.93,266.64,570.07,3.38,31.32,307.12,173.24,606.51,169.52,277.87,402.92,283.24,39.94,313.85,91.13,21.07,55.64,9.92,522.12,295.12,87.28,172.83,48.16,350.1,177.76,435.2,297.73,44.23,50.15,35.86,117.68,120.54,11.06,129.76,45.75,36.19,109.77,33.49,143.83,646.5,533.18,45.88,378.47,505.56,157.24,97.46,37.8,25.27,310.6,497.38,41.9,90.43
21.96,25.89,167.44,237.77,340.97,5.88,70.72,51.23,15.65,36.16,507.67,112.51,147.36,519.54,53.76,363.27,608.19,745.74,0.0,9.19,583.28,191.04,505.42,506.55,117.1,30.58,468.07,225.29,529.41,235.35,248.45,363.43,690.63,70.27,232.91,7.18,522.12,86.42,344.36,16.79,127.52,218.64,564.59,3.38,31.18,304.42,172.0,609.3,168.35,280.46,395.24,267.51,39.21,314.65,92.38,22.49,53.65,9.32,516.3,301.22,87.56,169.08,49.55,350.63,169.06,441.59,297.83,44.77,49.72,38.25,117.59,119.38,12.06,137.3,45.5,36.7,110.27,33.2,142.7,643.31,536.05,45.63,369.38,495.1,144.39,95.57,41.78,23.06,310.68,418.4,39.99,85.97
23.95,26.56,174.12,241.52,338.23,8.23,69.78,50.38,15.94,38.7,508.39,114.95,149.43,523.78,60.23,369.82,587.81,751.86,0.0,12.58,593.42,194.05,502.8,514.52,141.75,32.93,458.45,231.85,530.97,236.05,249.98,364.36,718.77,70.75,232.1,6.73,523.82,84.5,349.59,17.51,120.76,197.31,571.81,3.38,29.22,304.11,173.76,624.78,166.28,277.87,398.27,225.54,43.65,317.39,92.64,24.48,54.15,12.03,509.73,293.71,88.17,185.05,50.01,350.95,164.98,436.91,308.05,46.61,47.31,40.64,120.65,122.1,14.57,141.88,45.4,37.3,109.21,34.13,141.7,636.1,526.65,45.63,370.81,492.93,141.12,95.93,40.78,24.83,316.21,421.26,39.33,88.2
21.24,22.68,171.98,242.58,328.4,8.29,72.45,51.8,13.63,36.37,533.15,111.33,150.59,537.95,51.8,375.95,600.33,659.43,0.0,11.58,602.4,188.73,506.68,525.01,134.44,27.64,458.95,218.78,524.73,229.46,244.91,356.52,713.7,69.23,226.55,6.34,547.36,77.23,342.25,16.5,96.18,194.69,572.83,3.37,26.66,298.67,171.4,564.82,164.01,281.21,415.14,234.08,42.0,299.95,89.1,18.93,47.47,11.42,522.39,283.82,87.48,176.3,47.34,355.28,152.19,407.76,310.45,43.16,49.16,33.34,119.31,118.84,14.24,123.35,39.36,36.63,103.13,33.05,135.96,661.2,508.0,43.1,365.49,498.25,105.28,90.84,39.01,24.97,294.09,417.01,38.72,89.85
22.33,25.27,180.59,242.58,348.32,7.1,73.39,48.35,18.63,40.53,544.32,116.35,158.81,548.18,59.57,390.07,611.94,712.01,0.0,12.3,620.93,194.77,526.82,537.15,132.92,31.1,467.58,230.22,554.74,228.24,258.38,365.77,753.68,72.66,243.27,5.89,550.21,69.96,360.39,17.57,129.58,205.82,594.29,3.37,29.59,316.08,173.0,638.04,169.14,288.36,425.38,254.44,42.66,321.26,92.61,21.76,55.56,11.42,533.62,295.17,90.45,173.53,49.89,358.68,159.24,418.01,322.13,49.46,50.2,38.11,124.96,125.26,15.75,137.24,48.56,38.0,107.71,32.89,143.53,675.92,529.6,46.48,370.11,506.9,140.45,90.12,40.51,23.63,327.97,436.23,42.31,76.53
22.21,23.01,179.26,241.45,356.6,9.47,76.37,45.76,17.25,42.19,541.94,117.26,158.54,557.48,61.51,391.12,608.74,702.7,0.0,13.27,601.25,193.0,511.64,536.25,116.11,28.79,458.12,224.08,551.9,225.96,261.14,361.61,768.78,72.84,243.73,6.8,552.93,66.33,352.51,18.52,125.54,233.63,600.56,3.37,26.38,314.03,173.16,629.67,167.2,288.77,412.05,244.26,41.71,321.44,89.1,21.19,53.69,12.02,534.2,297.06,89.46,195.68,48.05,366.8,153.0,409.81,324.64,48.82,51.1,36.62,125.57,126.09,15.75,136.18,48.51,36.97,104.27,33.1,146.22,669.01,528.29,48.14,357.57,502.6,137.6,87.31,35.51,20.96,317.4,436.78,42.95,69.88
22.46,23.1,177.93,235.35,358.44,11.84,74.96,45.76,17.18,42.34,533.4,117.96,159.0,547.37,63.45,398.23,633.98,695.42,0.0,14.23,603.03,193.75,515.05,539.06,128.33,28.79,451.51,225.59,547.28,226.48,265.61,360.48,775.89,74.35,242.67,6.34,549.02,67.23,358.72,17.69,123.51,239.19,592.22,5.06,24.15,322.96,176.26,626.78,162.0,292.09,398.96,234.08,43.18,325.79,87.08,17.24,54.32,12.32,535.45,294.22,88.84,193.83,48.66,362.54,150.02,408.79,328.97,49.57,53.04,37.81,125.21,127.5,13.07,136.66,45.99,38.25,103.95,33.39,149.69,662.65,519.35,46.74,356.12,500.28,137.48,85.72,37.01,21.41,322.72,427.38,43.82,69.88
21.09,23.56,176.05,235.34,361.37,11.89,73.54,44.53,19.05,40.39,543.63,114.71,154.75,534.23,56.96,412.62,658.01,682.38,0.0,13.23,613.58,193.16,526.66,543.2,116.66,27.08,453.88,212.06,566.25,232.31,268.58,374.88,777.4,74.04,243.08,6.4,571.78,61.12,354.09,17.4,132.92,249.97,592.0,5.05,23.97,318.36,179.22,646.24,159.98,291.99,394.32,227.31,43.59,326.42,87.81,17.95,56.49,12.9,543.53,286.3,88.7,185.08,48.81,364.25,158.13,399.37,325.61,47.07,51.8,36.47,125.31,126.39,10.89,133.25,44.39,39.55,102.32,34.07,146.3,695.6,521.66,45.37,352.58,520.61,138.41,85.32,35.71,19.73,314.58,429.73,42.84,79.35
22.77,21.65,170.69,225.01,365.15,11.89,71.66,40.16,18.04,40.92,525.19,115.52,154.29,516.43,46.6,401.48,631.04,662.11,0.0,11.31,590.53,187.65,520.88,529.29,122.72,23.69,444.88,203.2,558.71,231.96,268.92,359.94,737.47,74.1,239.33,6.86,551.9,53.37,348.34,18.7,124.42,220.9,560.32,5.05,24.39,311.87,177.53,640.05,158.41,282.09,394.81,222.36,44.77,318.85,85.8,18.23,54.69,12.6,522.59,302.49,89.33,168.75,48.01,353.9,147.84,389.96,317.13,47.49,52.61,37.66,123.29,120.84,9.05,131.52,44.19,40.75,100.72,33.16,141.12,680.55,512.69,44.06,346.0,512.05,137.36,85.61,42.75,19.29,302.56,427.81,43.83,81.55
24.71,20.9,172.27,220.4,370.17,13.08,71.5,42.78,17.39,42.02,529.58,110.3,160.09,524.8,47.9,396.5,636.82,664.57,0.0,11.55,591.57,185.9,512.77,534.54,90.9,23.69,444.22,212.06,557.04,234.26,272.43,365.3,710.97,79.0,244.07,6.4,545.08,44.76,346.43,18.94,126.54,232.53,569.54,1.68,23.56,322.55,177.16,636.7,153.63,290.26,384.33,182.83,45.22,319.48,87.5,17.67,56.43,11.4,521.7,303.45,90.29,166.03,48.36,360.67,148.65,395.86,322.5,47.18,51.32,40.03,123.31,119.33,9.88,135.17,45.38,40.32,100.25,33.57,142.45,660.34,509.32,43.0,350.16,507.68,137.36,84.46,35.71,16.15,303.84,434.87,44.37,77.14
23.54,20.32,181.02,223.13,380.3,10.7,71.66,36.67,17.25,40.63,533.76,110.52,163.18,513.95,42.07,396.78,640.15,663.03,0.0,11.55,578.42,186.91,513.58,540.92,81.81,25.95,435.88,216.53,556.34,230.9,273.19,372.77,695.52,77.97,248.73,6.86,545.62,43.9,332.78,19.88,127.61,308.1,566.17,1.68,24.11,326.23,178.86,640.22,152.89,301.7,381.89,222.36,44.11,325.69,87.91,17.39,55.62,12.0,507.92,319.64,89.01,172.38,49.26,364.79,157.32,386.33,322.02,46.33,52.61,33.51,121.94,121.37,10.39,135.26,44.74,39.64,100.61,32.74,140.16,656.78,519.92,43.93,336.21,505.25,135.96,85.18,35.2,16.59,300.15,440.68,44.55,58.41
